Value,Fitness User,Normal User
Compound,0.3163277576575549,0.1873754064846841
Positive,0.2066947091911778,0.18464688548126643
Negative,0.05769048956758928,0.09431385861537127
Neutral,0.7356151050039839,0.7210375442414071
