Neutrals,Mean Fitness Sent,Mean Normal Sent,P-Value,T-Score
N,0.3163277576575549,0.1873754064846841,1.0228435521509912e-17,-8.739791818468332
Y,0.18297850474851443,0.10611816462030405,3.307267390085233e-16,-8.303089348320077
