Value,Fitness User,Normal User
Compound,0.18297850474851443,0.10611816462030405
Positive,0.1165323482597623,0.10453799418977164
Negative,0.03261727371604414,0.054016457421856845
Neutral,0.8507491524299661,0.8414457229609049
